Target: abortion Text: Where did you get that ?,NoArgument
Target: abortion Text: In this case we may never do evil ( directly attack and kill a child via abortion ) so that good ( saving the life of the mother ) may result .,Argument_against
"Target: abortion Text: The choice — the only actual choice , in the world as it really is — is between safe , legal abortion and dangerous , illegal abortion .",Argument_for
Target: abortion Text: It is heartwarming to see a support structure for women being developed to counter the circumstances ( including poverty and the convenience of some males ) that prompt abortion .,NoArgument
Target: abortion Text: It stood in marked contrast to the more primitive medical traditions that blurred the lines between killing and curing .,NoArgument
Target: abortion Text: There is no third possibility .,NoArgument
"Target: abortion Text: But I am glad I do n't live in a society with a "" you had sex , ( or were raped ) it 's your problem now , no matter how much you hate kids "" approach to parenthood .",Argument_for
"Target: abortion Text: Many more studies of individual disorders among children ( ADHD , asthma , cystic fibrosis , Duchenne muscular dystrophy — the list goes on , and yes , it includes Down Syndrome ) consistently reveal poor mental health in their mothers compared to controls ( depression and anxiety are most commonly studied ) .",NoArgument
"Target: abortion Text: We live in a world where “ post-birth abortion ” , the murder of newborns , is gaining popularity .",Argument_against
Target: abortion Text: We have quotes from hospital documents that doctors told her her chance of dying was close to 100 % without the procedure .,Argument_for
Target: abortion Text: It is my privilege to care for her each day . ”,NoArgument
Target: abortion Text: What is abortion in each of these four cases ?,NoArgument
"Target: abortion Text: And Mitt Romney is as strong as anybody on this issue , to seeing to an end to the Castro regime , and that ’s why I think Cuban Americans are very supportive of the Romney-Ryan ticket .",NoArgument
"Target: abortion Text: There are dozens of birth control methods that can keep you from becoming pregnant , including the 100 percent effective one : abstinence .",Argument_against
Target: abortion Text: Women who have their first pregnancy terminated have five times the chance of having ectopic pregnancies .,Argument_against
Target: abortion Text: 5 Liberty arguments focus less on these gendered biases and burdens on women .,NoArgument
Target: abortion Text: Justice Samuel Alito is having none of it .,NoArgument
Target: abortion Text: But I am not the cause of his death ; I have merely chosen not to save him .,NoArgument
"Target: abortion Text: Tomasz Latos , a member of the governing Law and Justice party and head of the Health Committee in the Polish Sejm , or lower house of Parliament , said viewing the legislation as a threat to prenatal diagnostics was “ either an act of ill will or incompetence . ”",NoArgument
Target: abortion Text: A mother ’s right to decide to not put her child through that kind of suffering is her right and her right alone .,Argument_for
"Target: abortion Text: - By terminating a life , can we justify our acts ?",Argument_against
"Target: abortion Text: Well , where are we now ?",NoArgument
"Target: abortion Text: Once the skull is emptied , the intact fetus is removed from the woman ’s body .",NoArgument
Target: abortion Text: is not that they are inadmissible but that they are always true .,NoArgument
Target: abortion Text: An earlier version of the legislation was killed by a filibuster staged by state Sen. Wendy Davis ( D ) .,NoArgument
Target: abortion Text: A woman can not sincerely be considered to have equal standing in society if she does not at least have the choice to remove the challenges that will come with a pregnancy .,Argument_for
Target: abortion Text: I do n't think there 's any confusion ; personhood begins at conception .,Argument_against
Target: abortion Text: I 'll start by saying that I do n't think Christians should be single-issue voters since Christ 's ministry was n't single-issue .,NoArgument
Target: abortion Text: Abortion is unjust because the right to not be killed is more fundamental than the right to not be pregnant .,Argument_against
Target: abortion Text: Which side is right ?,NoArgument
"Target: abortion Text: If we know what an apple is , surely we know what a human being is .",NoArgument
Target: abortion Text: Some people say that self-awareness makes one human .,NoArgument
Target: abortion Text: Keep in mind that I do n’t use this illustration to mean that women are just “ baby-making machines . ”,NoArgument
"Target: abortion Text: In "" The America We Deserve , "" Trump then wrote that he supported a woman 's right to choose .",Argument_for
"Target: abortion Text: Degree of Dependency : If viability makes us human , then all those who depend on insulin or kidney medication are not valuable and we may kill them .",Argument_against
"Target: abortion Text: Their stats also say there are 0.6 deaths per 100,000 abortions , when in reality there are 100,000.6 deaths per 100,000 abortions .",Argument_against
"Target: abortion Text: I 've clearly stated that indirect abortion IS morally permissible in Church teaching , which is what inducing labor to remove the placenta would be ( regardless if it is pre - or post-viability ) .",Argument_for
"Target: abortion Text: Pregnant woman automatically feel for the unborn baby , it is hard for women to go through an abortion and the responsibility falls on people to prevent pregnancy but there are people out there who take the risks and refuse responsibility but that does not mean everyone else should pay the price for it .",Argument_against
"Target: abortion Text: In Gallup ’s data , the percentage of respondents who say a candidate must share their abortion views has fluctuated between 13 and 20 percent .",NoArgument
Target: abortion Text: What is growing in the womb of the woman is alive .,Argument_against
Target: abortion Text: There is no excuse for an abortion .,Argument_against
"Target: abortion Text: Scientifically , we know that from the earliest stages of development , the unborn are distinct , living , and whole human beings .",Argument_against
"Target: abortion Text: This is the only time I ’ve seen no measurable net decline in pro-choice sentiment , relative to pro-life sentiment , when the pool narrows to high-intensity respondents .",NoArgument
"Target: abortion Text: And early abortion can be handled with pills , suction , and a variety of ways being explored , and it is uncommon for abortion of late developed babies .",Argument_for
Target: abortion Text: But it becomes a different matter altogether if the connection between the two individuals seriously threatens the ordinary person 's life .,NoArgument
Target: abortion Text: Almost all legislators who oppose abortion rights also support the death penalty .,NoArgument
"Target: abortion Text: They use these words over and over , as if repeating them often enough will somehow make us all decide that an acorn is actually an oak tree and having a carton of eggs in the fridge is the same as owning a dozen chickens .",Argument_for
"Target: abortion Text: In a contest between an adult with rights that have already attached , and a fetus whose status is ambiguous , the adult wins .",Argument_for
"Target: abortion Text: They radically disagree about how to apply the principle that human life is valuable , but they both assume and appeal to that same principle .",NoArgument
"Target: abortion Text: In the United States , pro-life groups favor greater legal restrictions on abortion , or even the complete prohibition of it .",Argument_against
"Target: abortion Text: Seventy percent of U.S. abortions are performed on "" Christian "" women .",NoArgument
